"user_id","username","avatar","2022_leagues","createdAt","updatedAt","2023_leagues","2021_leagues","2020_leagues","2019_leagues","2018_leagues"
"103413710143766528","sty1ee","e476c30c466b2d45503c4e7947f2cee6","[""784822734478823424"", ""776948568681500672"", ""788101030608003072"", ""786679616273276928"", ""784827725792788480"", ""790213882626060288"", ""815346653958647808"", ""835206799513731072"", ""787554732112728064"", ""774390084047851520"", ""781387844274159616"", ""786431644054781952"", ""789814499036262400"", ""784645806748790784"", ""811410919652429824"", ""801417976489308160"", ""879534910489157632"", ""817165028410138624"", ""863765484036788224"", ""896963735208493056"", ""846648309937442816"", ""870289207380381696"", ""872318217601945600"", ""855765451056209920"", ""902014845736792064"", ""899126809709813760"", ""892277194561384448"", ""895044156375371776"", ""896223437427945472"", ""894788673575694336"", ""882134882397171712"", ""886050306520358912"", ""886203101089181696"", ""892929257083518976"", ""891894604218298368"", ""907510550282579968"", ""890432838615633920""]","2022-12-27 06:46:00.834+00","2023-01-02 00:31:57.675+00",NULL,NULL,NULL,NULL,NULL
"212292874924978176","Redwards","522245b760f10808035f4b3a242da781","[""873110935705899008"", ""872862660155387904"", ""872034940596973568"", ""871142657823514624"", ""870669775301480448"", ""866928320674217984"", ""862997312882978816"", ""862185750748344320"", ""861572190309597184"", ""860607940523053056"", ""858627440120016896"", ""856789091700822016"", ""847364812517289984"", ""846760238903324672"", ""846673030255095808"", ""846259331333750784"", ""846134037910249472"", ""845530497210777600"", ""844942240798351360"", ""843584180775391232"", ""784396074088591360"", ""784883680844828672"", ""865277316593524736"", ""868877054404366336"", ""853341831470096384"", ""808424023888355328"", ""839117049606275072"", ""901595545431494656"", ""872647195277578240"", ""873634859057463296"", ""872436936978120704"", ""872020634086100992"", ""871321901002330112"", ""869578448509820928"", ""861923198395064320"", ""860942303995461632"", ""859136264115453952"", ""859002363313233920"", ""858349249274941440"", ""856770082515308544"", ""852555824994848768"", ""851741876640940032"", ""851120912978796544"", ""849658511368523776"", ""848569525162061824"", ""846554470014910464"", ""846096912322011136"", ""844984276134010880"", ""844336342807715840"", ""835532481238261760"", ""826565640751013888""]","2023-01-13 18:07:32.253+00","2023-01-13 18:07:32.253+00",NULL,NULL,NULL,NULL,NULL
"300537849801875456","DonnieOeight","3a10410e194abef79deb540942bb31a5","[""866378105055494144"", ""864869087929589760"", ""858486886245740544"", ""857863548418772992"", ""856944676018724864"", ""851298961108074496"", ""846259331333750784"", ""845874274710433792"", ""844258731746234368"", ""843629638449205248"", ""842658493080145920"", ""818707851227844608"", ""818321980129431552"", ""813271527242956800"", ""809185837676875776"", ""792514070153670656"", ""799894725845987328"", ""796513711585112064"", ""789614048831537152"", ""818539489826861056"", ""784440815379480576"", ""784549980630351872"", ""847044100346736640"", ""830303964846202880"", ""785013487050067968"", ""787030114394374144"", ""786832585643941888"", ""821499965187686400"", ""816828130797961216"", ""784549796269682688"", ""784989064960045056"", ""814182071659520000"", ""807512486126395392"", ""784527070612074496"", ""796041193849982976"", ""796041082768044032"", ""796039765014228992"", ""786097018258006016"", ""784426813375012864"", ""787383337894477824"", ""784434702080712704"", ""784464714494242816"", ""791068087234445312""]","2022-12-28 04:16:10.658+00","2022-12-28 04:16:10.658+00",NULL,NULL,NULL,NULL,NULL
"300771421884252160","Pri5onMike","261f34dc0b6034ff5e5b95e291ce7881","[""805205675381760000"", ""789421573651156992"", ""784844715966234624"", ""856414333872238592"", ""798303330802708480"", ""784688582861426688"", ""784454070906839040""]","2022-12-26 17:58:10.666+00","2023-01-12 11:22:25.191+00",NULL,NULL,NULL,NULL,NULL
"312695093469388800","staitenator","050808d05fcf3ebaef54e3f8ade3b621","[""870127018753347584"", ""784832514249392128"", ""803814947921428480"", ""791454504070533120"", ""784459482158731264"", ""786828923865538560"", ""785967736705802240"", ""782052696680210432"", ""825824398534635520"", ""790696814138499072"", ""785339783403679744"", ""784436410785660928"", ""831590963158851584"", ""786537218423521280"", ""786319898782601216"", ""785339710041133056"", ""817476133120491520"", ""871217171462864896"", ""809884718316244992"", ""801316502119751680"", ""794659685486665728"", ""786988350681833472"", ""786786852072988672"", ""785961026985484288""]","2022-12-30 01:51:29.49+00","2022-12-30 03:28:03.043+00",NULL,NULL,NULL,NULL,NULL
"327120424599035904","ruggermad","ddcfd2ef3a25ea144ba24a4b8d248956","[""873318626709696512"", ""857693668147085312"", ""844684029251923968"", ""822596629889683456"", ""806723200280027136"", ""800894325188833280"", ""784771093138386944"", ""784442625800466432"", ""784439358697656320"", ""784366625481715712"", ""797066044085735424"", ""830038940043063296"", ""785003815437991936"", ""786417954655956992"", ""784600177578209280"", ""791219345803026432"", ""785006013043605504"", ""834387629205196800"", ""803304022579724288"", ""835312865203298304"", ""794997790685118464"", ""795347175746936832""]","2023-01-08 22:17:08.873+00","2023-01-08 22:17:08.873+00",NULL,NULL,NULL,NULL,NULL
"327170783342256128","joepao11","1dc4c201df6d6c48d15a4fcf41761b71","[""784485788560834560"", ""784490029497163776"", ""865817787539509248"", ""784275523407876096"", ""784460669150941184"", ""784861668617359360""]","2022-12-28 23:46:29.671+00","2022-12-28 23:49:10.855+00",NULL,NULL,NULL,NULL,NULL
"333830312754700288","jams441","1d538540976713a2a93c687c112b5c70","[""846181119283048448"", ""800827201795772416"", ""798265646902263808"", ""785472574720212992"", ""785225060909768704"", ""784554778373103616"", ""784366001281187840"", ""784365671793475584""]","2023-01-02 01:54:44.39+00","2023-01-02 01:54:44.39+00",NULL,NULL,NULL,NULL,NULL
"335253143476502528","runouni","a8a212806f5f16476352ace23c38816d",NULL,"2023-01-16 22:20:28.472+00","2023-01-16 22:34:40.977+00","[""920725310792908800"", ""920712302775578624"", ""920708507794530304"", ""920545468386488320"", ""920179675270381568"", ""920177183698608128"", ""920119401460961280"", ""920118134185537536"", ""920077011564032000"", ""920035328092700672"", ""920031188683665408"", ""920019376366088192"", ""919397109785354240"", ""919286590797692928"", ""919242591206473728"", ""919089670514995200"", ""919063679453179904"", ""919047142021443584"", ""919010507841945600"", ""919007812754235392"", ""919003165301923840"", ""918974164797685760"", ""918944625551880192"", ""918915020443037696"", ""918767502786863104"", ""918753680726286336"", ""918448886707077120"", ""918341768599437312"", ""918331743843921920"", ""918244228705202176"", ""918235898117062656"", ""918162444684521472"", ""918013693110210560"", ""917984566072287232"", ""917925718267879424"", ""917858558183022592"", ""917666288095481856"", ""917514405766787072"", ""917503293000167424"", ""917497890288087040"", ""917332883856097280"", ""917331026366648320"", ""917239833863659520"", ""917239831837650944"", ""917227495517204480"", ""917227137344606208"", ""917131230599196672"", ""917075521136295936"", ""916978516552515584"", ""916947556285009920"", ""916883518528098304"", ""916852818798047232"", ""916835874862833664"", ""916777036713156608"", ""916769446197506048"", ""916769248997916672"", ""916753787946131456"", ""916591793964265472"", ""916567307214925824"", ""916564008852054016"", ""916542631549939712"", ""916497896478978048"", ""916459665553428480"", ""916439277364604928"", ""916388917241311232"", ""913819885329891328""]",NULL,NULL,NULL,NULL
"335624790515675136","GuyFeiri","bc579decd9c6d50145f9a07991f55be0","[""784401580144402432"", ""913888263323213824"", ""814904177187729408"", ""784448743079616512"", ""784447791433932800"", ""784545869126037504"", ""785051612505833472"", ""784534778530623488"", ""785593306418688000"", ""784694173919023104"", ""785722757257486336"", ""784448919865282560"", ""787534752684036096""]","2023-01-08 22:50:44.34+00","2023-01-10 15:35:31.19+00",NULL,NULL,NULL,NULL,NULL
